id,name,uid,lat,lng,is_practical,line_id,created_at,updated_at
1,西苑,81b778513892613204fef57e,116.28654741200646,39.997210882234654,0,1,2018-07-23 02:28:36,2018-07-23 02:28:36
2,农大南路,f55dd9e80ba0a48bf92213bd,116.27627014328,40.02024310978039,1,1,2018-07-23 02:28:36,2018-07-23 02:28:36
3,马连洼,fcf4ac0162375d4683a00c0f,116.26683661721319,40.03122239826917,1,1,2018-07-23 02:28:36,2018-07-23 02:28:36
4,西北旺,8d25783c73ec0e296d20b94e,116.25159710433716,40.04794733481666,0,1,2018-07-23 02:28:36,2018-07-23 02:28:36
5,永丰南,8c71966addaa3ebbc72ba172,116.24205921598768,40.06448435997888,1,1,2018-07-23 02:28:36,2018-07-23 02:28:36
6,永丰,2450f36305d30441c7f02523,116.23214172810015,40.07061955612978,0,1,2018-07-23 02:28:36,2018-07-23 02:28:36
7,屯佃,f6a80736c9e0bb4c01294f28,116.20973655860757,40.06719952014224,0,1,2018-07-23 02:28:36,2018-07-23 02:28:36
8,稻香湖路,30dabc7a1f991fa032f71d56,116.18210644711003,40.06746330308234,0,1,2018-07-23 02:28:36,2018-07-23 02:28:36
9,温阳路,f7135121383143a02cb90806,116.15521183575909,40.06720196153249,0,1,2018-07-23 02:28:36,2018-07-23 02:28:36
10,北安河,c47408d6bfaac982047ce8dc,116.12402228810407,40.06647048923657,0,1,2018-07-23 02:28:36,2018-07-23 02:28:36
11,石厂,241139f1d4e97a9e48cc4ac5,116.09402143449867,39.888086160000036,0,2,2018-07-23 02:28:36,2018-07-23 02:28:36
12,小园,d6f5420c924ab8cb5cbe86df,116.10839342759932,39.888997682028,1,2,2018-07-23 02:28:36,2018-07-23 02:28:36
13,栗园庄,08b8cced88e5c0e2120daafa,116.11697736610846,39.894499898454086,0,2,2018-07-23 02:28:36,2018-07-23 02:28:36
14,上岸,ef7a9f2e9bafc62d88fc062c,116.11586347440586,39.90388877722525,1,2,2018-07-23 02:28:36,2018-07-23 02:28:36
15,桥户营,a5e38c162c229f20abf7291b,116.11945246741551,39.9110476405225,0,2,2018-07-23 02:28:36,2018-07-23 02:28:36
16,四道桥,26c7b03098bc2197d22dd62a,116.12760410075938,39.9146735871231,0,2,2018-07-23 02:28:36,2018-07-23 02:28:36
17,金安桥,4d39b0a0751f44c988b9886b,116.15681322873783,39.922411359295175,1,2,2018-07-23 02:28:36,2018-07-23 02:28:36
18,阎村东,9002600f28f2370d4e2fdf8f,116.094071684837,39.72766711735312,0,3,2018-07-23 02:28:36,2018-07-23 02:28:36
19,紫草坞,e3ba8e85fde9a08136b06c89,116.08038018386269,39.72315670951753,1,3,2018-07-23 02:28:36,2018-07-23 02:28:36
20,阎村,f6e319da24cbe9c2b1077d9f,116.0739557032368,39.71529460004493,0,3,2018-07-23 02:28:36,2018-07-23 02:28:36
21,星城,33a4137171b4aa7cf7b916a3,116.05506507705405,39.71224245716173,0,3,2018-07-23 02:28:36,2018-07-23 02:28:36
22,大石河东,c73780d4ca990ce38f55ec85,116.03349892591928,39.708479231840506,0,3,2018-07-23 02:28:36,2018-07-23 02:28:36
23,马各庄,bcaaab7ec9bade3809b93a02,116.01046789637647,39.703816239026,1,3,2018-07-23 02:28:36,2018-07-23 02:28:36
24,饶乐府,cfc687b8f76b6b6915a19014,115.99999544341685,39.70022640278119,1,3,2018-07-23 02:28:36,2018-07-23 02:28:36
25,房山城关,cc0f323dbe5b70ebdb1318c8,115.98361854671725,39.70484936166878,0,3,2018-07-23 02:28:36,2018-07-23 02:28:36
26,燕山,194e55c5212df2b79ff779a5,115.96753948644162,39.71843083414496,1,3,2018-07-23 02:28:36,2018-07-23 02:28:36
